Incoming message from Client is : 55.0	0.0	0.0
Outgoing message to Client is : 54.573343225298544	-0.09395585066724904	4.699999999999999	

Incoming message from Client is : 54.573343225298544	-0.09395585066724904	4.699999999999999	
Outgoing message to Client is : 55.11194364313627	0.06676260347089075	4.799999999999999	

Incoming message from Client is : 55.11194364313627	0.06676260347089075	4.799999999999999	
Outgoing message to Client is : 54.72922808183818	0.22672850200870884	4.899999999999999	

Incoming message from Client is : 54.72922808183818	0.22672850200870884	4.899999999999999	
Outgoing message to Client is : 53.42951055439972	0.384085671120841	4.999999999999998	

Incoming message from Client is : 53.42951055439972	0.384085671120841	4.999999999999998	
Outgoing message to Client is : 51.22774556071338	0.5368397175062447	5.099999999999998	

Incoming message from Client is : 51.22774556071338	0.5368397175062447	5.099999999999998	
Outgoing message to Client is : 48.150320428511975	0.6827839590002953	5.1999999999999975	

Incoming message from Client is : 48.150320428511975	0.6827839590002953	5.1999999999999975	
Outgoing message to Client is : 44.23627225589882	0.8194622725188391	5.299999999999997	

Incoming message from Client is : 44.23627225589882	0.8194622725188391	5.299999999999997	
Outgoing message to Client is : 39.53871782744687	0.944182887487763	5.399999999999997	

Incoming message from Client is : 39.53871782744687	0.944182887487763	5.399999999999997	
Outgoing message to Client is : 34.12620445968262	1.0540933509533377	5.4999999999999964	

Incoming message from Client is : 34.12620445968262	1.0540933509533377	5.4999999999999964	
Outgoing message to Client is : 28.08363111026858	1.146319308957534	5.599999999999996	

Incoming message from Client is : 28.08363111026858	1.146319308957534	5.599999999999996	
Outgoing message to Client is : 21.512373925161697	1.218158221961373	5.699999999999996	

Incoming message from Client is : 21.512373925161697	1.218158221961373	5.699999999999996	
Outgoing message to Client is : 14.529301315192045	1.2673053472351308	5.799999999999995	

Incoming message from Client is : 14.529301315192045	1.2673053472351308	5.799999999999995	
Outgoing message to Client is : 7.264493592188111	1.2920770311583933	5.899999999999995	

Incoming message from Client is : 7.264493592188111	1.2920770311583933	5.899999999999995	
Outgoing message to Client is : -0.1423174144523614	1.2915904326051968	5.999999999999995	

Incoming message from Client is : -0.1423174144523614	1.2915904326051968	5.999999999999995	
Outgoing message to Client is : -7.546339002635019	1.2658631186449045	6.099999999999994	

Incoming message from Client is : -7.546339002635019	1.2658631186449045	6.099999999999994	
Outgoing message to Client is : -14.802879173210906	1.2158110476071229	6.199999999999994	

Incoming message from Client is : -14.802879173210906	1.2158110476071229	6.199999999999994	
Outgoing message to Client is : -21.772496643570207	1.143145382736839	6.299999999999994	

Incoming message from Client is : -21.772496643570207	1.143145382736839	6.299999999999994	
Outgoing message to Client is : -28.32555934715718	1.0501903629171725	6.399999999999993	

Incoming message from Client is : -28.32555934715718	1.0501903629171725	6.399999999999993	
Outgoing message to Client is : -34.3457588798034	0.9396591633908244	6.499999999999993	

Incoming message from Client is : -34.3457588798034	0.9396591633908244	6.499999999999993	
Outgoing message to Client is : -39.73234007121577	0.8144285702971398	6.5999999999999925	

Incoming message from Client is : -39.73234007121577	0.8144285702971398	6.5999999999999925	
Outgoing message to Client is : -44.40103888183632	0.6773470413728617	6.699999999999992	

Incoming message from Client is : -44.40103888183632	0.6773470413728617	6.699999999999992	
Outgoing message to Client is : -48.283920010725346	0.5310982898449723	6.799999999999992	

Incoming message from Client is : -48.283920010725346	0.5310982898449723	6.799999999999992	
Outgoing message to Client is : -51.32843250028251	0.3781287729855525	6.8999999999999915	

Incoming message from Client is : -51.32843250028251	0.3781287729855525	6.8999999999999915	
Outgoing message to Client is : -53.49604967026338	0.2206360737161599	6.999999999999991	

Incoming message from Client is : -53.49604967026338	0.2206360737161599	6.999999999999991	
Outgoing message to Client is : -54.760842449527985	0.060607739406104755	7.099999999999991	

Incoming message from Client is : -54.760842449527985	0.060607739406104755	7.099999999999991	
Outgoing message to Client is : -55.10827535058208	-0.10010353550636825	7.19999999999999	

Incoming message from Client is : -55.10827535058208	-0.10010353550636825	7.19999999999999	
Outgoing message to Client is : -54.534433427297174	-0.2596836579163731	7.29999999999999	

Incoming message from Client is : -54.534433427297174	-0.2596836579163731	7.29999999999999	
Outgoing message to Client is : -53.045800993381654	-0.4162551376912556	7.39999999999999	

Incoming message from Client is : -53.045800993381654	-0.4162551376912556	7.39999999999999	
Outgoing message to Client is : -50.65962504483305	-0.5677845919666775	7.499999999999989	

Incoming message from Client is : -50.65962504483305	-0.5677845919666775	7.499999999999989	
